id,name,composition,group,class,color,mohs,fracture,cleavage,tenacity
1,Antimony,Sb,Non-silicate,Native Element,Grey,3,Irregular,Perfect,Brittle
2,Acanthite,Ag2S,Non-silicate,Sulfide,Black,2,Sub-Conchoidal,None,Sectile
3,Adamite,Zn2AsO4OH,Non-silicate,Arsenate,Multiple,3.5,Conchoidal,Distinct,Very brittle
4,Albite,NaAlSi3O8,Silicate,Tectosilicate,Multiple,6,Conchoidal,Perfect,Brittle
5,Alunite,KAl3(SO4)2(OH)6,Silicate,Sulfate,Multiple,3.5,Conchoidal,Distinct,Brittle
6,Azurite,Cu3(CO3)2(OH)2,Non-silicate,Carbonate,Blue,3.5,Conchoidal,Perfect,Brittle
7,Augite,"(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6",Silicate,Inosilicate,Multiple,5.5,Sub-Conchoidal,Distinct,Brittle
8,Arsenic,As,Non-silicate,Native Element,Grey,3.5,Irregular,Perfect,Brittle
9,Barite,BaSO4,Non-silicate,Sulfate,Multiple,3,Irregular,Perfect,Brittle
10,Beryl,Be3Al2(Si O3)6,Silicate,Cyclosilicate,Multiple,7.5,Conchoidal,Fair,Brittle
11,Biotite,"K(Mg,Fe) 3(AlSi 3O 10)(F,OH)2",Silicate,Phyllosilicate,Brown,2.5,Micaceous,Perfect,Semiflexible
12,Brazilianite,NaAl3(PO4)2(OH)4,Non-silicate,Phosphate,Yellow,5.5,Conchoidal,Distinct,Brittle
13,Brochantite,Cu4SO4(OH)6,Non-silicate,Sulfate,Green,3.5,Conchoidal,Perfect,Brittle
14,Brucite,Mg(OH)2,Non-silicate,Oxide,Multiple,2.5,Micaceous,Perfect,Sectile
15,Bustamite,CaMn2+Si2O6,Silicate,Inosilicate,Pink,5.5,Irregular,Perfect,Brittle
16,Calcite,CaCO3,Non-silicate,Carbonate,Multiple,3,Conchoidal,Perfect,Brittle
17,Carrollite,CuCo2S4,Non-silicate,Sulfide,Grey,4.5,Conchoidal,None,Very brittle
18,Celestine,SrSO4,Non-silicate,Sulfate,Colorless,3,Irregular,Perfect,Brittle
19,Chalcopyrite,CuFeS2,Non-silicate,Sulfide,Yellow,3.5,Irregular,Poor,Brittle
20,Chondrodite,Mg5(SiO4)2F2,Silicate,Nesosilicate,Multiple,6,Conchoidal,Poor,Brittle
